number,name,description,image
8219-3,Veloce Collection ,"Bringing to mind the sleek styling of an Italian race car, bold contemporary styling creates eye-catching drama for your living room with the Veloce Collection. Color blocked black and ivory bi-cast vinyl covers the ultra-low profile seating and accompanying glass-topped cocktail table, while chrome legs provide support.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8219.jpg
1386T-1,Cinderella Collection,"The Cinderella Collection is your little child-s dream. The Victorian styling incorporates floral motif hardware, ecru painted finish and traditional carving details that will create the feeling of a room worth of a fairy tale princess. Offering regular bed, daybed and canopy poster bed in both ecru painted white wash and dark cherry finishes.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1386T-1.jpg
3526-30,Mariacarla Collection ,Blending elements of traditional design creates the classic look of the Mariacarla Collection. Genuine marble table tops perch atop acanthus leaf relief-enhanced cabriole legs in this occasional table offering. The dark cherry leg finish of the collection serves to highlight not only the traditional style but the marble as well.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3526-30.jpg
5428-30,Anna Claire Collection ,"Creating a unique style that blends femininity with gracefully weathered industrial accenting, the Anna Claire Collection provides an unexpectedly elegant addition to a number of living spaces. A driftwood finish covers the wood of the bases that support the rusticated zinc tabletops. Nail head accent table banding adds to the creative look of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5428-30.jpg
8079-30,Santos Collection ,"Blending the elements of Craftsman styling, industrial design, and natural wood tones to achieve the unique look of the Santos Collection. The design of this occasional offering is enhanced by distressing its solid rubberwood table tops, which cover in natural brown finish allowing for the grain to capture one-s eye. Staple accenting on the table's edge hints at a rough-hewn industrial look that has been softened for your living room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8079-30.jpg
4960DB-NT,Courtney Collection ,"The multi-functionality of a daybed provides a level of flexibility that makes it a welcome addition to almost any home. The Courtney Collection is finished in black and features the design accent of whimsical swirls. When used as a bed, with the addition of the trundle, your sleep space capability doubles.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4960DB-NT.jpg
4950GY,Roland Collection ,"With a modern design that includes clean lines and a dark brown bi-cast vinyl or modern grey fabric, the Roland Collection will be a functional addition to your home. Nestled below the twin bed is the easily accessed lower trundle unit. Casters make quick work of extending this extra sleep space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4950GY.jpg
2025T-1HB,Potrero Collection ,"Versatile placement options, while utilizing minimum space makes the Potrero Collection the right choice for your home. Three styles, each offered in a single cover are available - Grey fabric with vertical channel seaming, black bi-cast vinyl with x-stitch pattern and brown fabric with square pattern.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2025T-1HB.jpg
5177-30,Beaugrand Collection ,"With leaning towards the styles of industrial, contemporary and transitional, the Beaugrand will be an appropriate choice for a number of living room decors. The sofa table, end table, and cocktail table feature decorative metal banding and are supported by a modified X-base pedestal.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5177-30.jpg
4949BK,Adra Collection ,"The black vinyl covering of the Adra Collection blended with clean contemporary lines, creates a look that will compliment your home's decor. Whether used for sleeping or relaxing, the clean-line trundle design allows for placement in a number of room sizes and configurations, while the under-bed trundle pulls out to accommodate your additional sleep space needs.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4949BK.jpg
3205-30,Chorus Collection , The Chorus Collection combines appealing style with functionality. The dramatic curves of the retro cool black table bases serve as the support for the unique shaped glass tops of the Chorus Collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3205-30.jpg
4728BK,Elwell Collection ,The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4728BK Front.jpg
4501-F1,Tala Collection ,"A bold statement for any room the Tala Collection provides function and style for your living space. Offered in dark blue and brown, each piece is boldly accented with a white quatrefoil pattern. The attached lift top allows for discrete storage space within your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4501-F1.jpg
3401W-30,Firth II Collection ,Intersecting deep cherry finished wood ovals are set atop rounded wooden bases and serve to support beveled glass tops in the Firth II Collection. Add a touch of quality and contemporary style to your home with this sleek design which melds glass and wood into a classic contemporary design.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3401W-30.jpg
3224N-05,Daria Collection,"A continuous metal frame comprises the support system in the rustic Daria Collection. Each piece features wood shelving, with hints of grey within the finish, lending distinct character. Bookcase is offered in two widths, 26-inch and 40- inch wide, for the perfect placement in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3224N.jpg
17809,Alouette Collection ,"Like a window into your design world, the Alouette Collection provides a classic, yet modern platform for your living room experience. The cocktail and end table feature square tabletops with glass supports that are connected by metal hardware.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/17809.jpg
3587-30,Lovington Collection ,"Turned legs provide support to the tabletops and display shelves of the Lovington Collection. Modern traditional styling is achieved with a blend of classic accents - turned legs, knob hardware, espresso finish, and creative functionality - caster-supported lift-top cocktail table, end table with drawer. Each of these elements combines to create a stylish look for your home's living room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3587-30.jpg
3508-30,Pierre Collection ,Oval table tops are supported by elegantly curved legs in the Pierre Collection. The rich espresso finish is complemented by the glass insert table tops. Lower shelving provides a platform to display your prized possessions.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3508-30.jpg
1218F1S-3,Roweena Collection,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1218F1S-3.jpg
